1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
4 5 6 0 2 1 2 5 1 6 1 8 9 3 4 5 6 8 9 2 
7 8 7 0 4 9 8 7 4 2 3 6 7 1 2 3 6 9 7 9 
1 2 5 6 8 7 3 9 6 5 4 2 6 8 1 2 3 4 5 6 
5 6 9 8 2 3 6 4 8 6 9 2 3 6 5 4 7 8 9 6 
2 3 6 5 1 4 8 7 9 5 4 3 6 5 2 1 3 6 4 7 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5 8 7 1 9 
2 3 6 9 8 5 2 3 4 7 8 5 2 1 4 5 6 2 5 4 
2 3 6 5 1 4 8 7 9 5 4 3 6 5 2 1 3 6 4 7 
5 6 9 8 2 3 6 4 8 6 9 2 3 6 5 4 7 8 9 6 
2 3 6 9 8 5 2 3 4 7 8 5 2 1 4 5 6 2 5 4 
2 3 6 5 1 4 8 7 9 5 4 3 6 5 2 1 3 6 4 7 
5 6 9 8 2 3 6 4 8 6 9 2 3 6 5 4 7 8 9 6 
2 3 6 9 8 5 2 3 4 7 8 5 2 1 4 5 6 2 5 4 
7 8 9 0 4 9 8 7 4 2 3 6 7 1 2 3 6 9 7 9 
4 5 6 0 2 1 2 5 1 6 1 8 9 3 4 5 6 8 9 2 
1 2 5 6 8 7 3 9 6 5 4 2 6 8 1 2 3 4 5 6 
4 5 6 0 2 1 2 5 1 6 1 8 9 3 1 2 3 4 5 6 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 8 9 1 2 3 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5 6 7 8 9 
